style_collapsed,mean_abv,mean_ibu,mean_srm,n
India Pale Ale,6.578468188105117,66.04267878596269,9.989312977099237,6524
Pale Ale,5.69547972027972,40.869303149606296,8.89030612244898,4280
Stout,7.991841304948853,43.897287399130974,36.3,4238
Wheat,5.158040246555475,17.47168306010929,5.8618421052631575,3349
Double India Pale Ale,8.93059949195597,93.48142410015649,11.006872852233677,2525
Red,5.742565,33.81126609029779,16.178861788617887,2521
Lager,5.453718097447796,30.643614457831326,8.457446808510639,2230
Saison,6.4001890648952475,27.251135549872124,7.053475935828877,2167
Blonde,5.595298382598996,22.39432497013142,5.625,2044
Porter,6.182049535603715,33.25369297163995,32.19760479041916,1973
Brown,6.159212121212121,32.215765920826165,23.592,1462
Pilsener,5.227592936802974,33.51346153846154,4.413461538461538,1268
Specialty Beer,6.4464018445322795,33.776758620689655,15.520547945205479,1044
Bitter,5.322364130434782,38.28175182481752,12.460526315789474,939
Fruit Beer,5.195221919060052,19.240485829959514,8.666666666666666,905
Herb and Spice Beer,6.621445623342175,27.77341614906832,18.166666666666668,872
Sour,6.224316384180791,18.88868778280543,10.040816326530612,797
Strong Ale,8.826424581005586,36.74233082706767,22.54794520547945,767
Tripel,9.029774774774776,32.515,7.680555555555555,734
Black,6.958713768115942,65.50830564784053,31.08,622
Barley Wine,10.781600247619048,74.04843049327354,19.56140350877193,605
Kölsch,4.982215568862276,23.371830985915494,4.371794871794871,593
Barrel-Aged,9.00250569476082,39.1578947368421,18.133333333333333,540
Other Belgian-Style Ales,7.516318181818182,37.558125,17.54901960784314,506
Pumpkin Beer,6.7128391959799,23.483589743589743,17.918032786885245,458
Dubbel,7.509088397790055,25.05128205128205,22.94,399
Scotch Ale,7.620232558139535,26.369090909090907,24.22222222222222,393
German-Style Doppelbock,8.04576219512195,28.886915887850467,25.696969696969695,376
Fruit Cider,6.205786163522013,25.6,12,370
German-Style Märzen,5.7461023622047245,25.637956204379563,14.32258064516129,370
